City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Camacha,PT,77.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
3,Itarema,BR,85.44,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
10,Wurzen,DE,75.99,overcast clouds,51.3667,12.7333,Hotel Zur Post
24,Kokopo,PG,76.21,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
27,Ashqelon,IL,84.81,clear sky,31.6693,34.5715,Leonardo Ashkelon
33,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
34,Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
35,Stijena,BA,75.67,broken clouds,44.9353,16.0172,"Bazen ""SEN"""
37,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
38,Ponta Do Sol,PT,81.01,few clouds,32.6667,-17.1,Hotel do Campo
40,Gimli,CA,82.06,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
42,Butaritari,KI,82.33,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
43,Albany,US,86.04,clear sky,42.6001,-73.9662,
45,Kapaa,US,80.92,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
52,Mapiri,BO,86.86,few clouds,-15.25,-68.1667,
57,Haapiti,PF,76.73,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
59,Zigong,CN,76.33,light rain,29.3416,104.7769,Shangkeyou Express Hotel In Wuxing Street
60,Atuona,PF,77.52,broken clouds,-9.8,-139.0333,Villa Enata
62,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
66,Guerrero Negro,MX,77.18,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
69,Makakilo City,US,77.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
71,Vaini,TO,75.45,light rain,-21.2,-175.2,Keleti Beach Resort
76,Paracuru,BR,87.82,clear sky,-3.41,-39.0306,Hotel Vento Brasil
83,Tautira,PF,77.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
86,Aitape,PG,76.51,few clouds,-3.1374,142.3475,
88,Gigant,RU,83.64,broken clouds,46.5066,41.3419,
95,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
98,Pamekasan,ID,75.47,clear sky,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
100,Hithadhoo,MV,81.18,broken clouds,-0.6,73.0833,Scoop Guest House
102,Vaitape,PF,78.58,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
105,Safford,US,83.07,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
106,Nouakchott,MR,78.73,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
112,Sirsa,IN,87.31,overcast clouds,29.5333,75.0167,Hotel Capital
113,Padang,ID,77.59,overcast clouds,-0.9492,100.3543,Mercure Padang
114,Madang,PG,77.25,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
115,Victoria,HK,88.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
119,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
122,Dhidhdhoo,MV,81.97,overcast clouds,6.8833,73.1,Dhidhoo beach
125,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
127,Jamestown,US,83.52,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
135,Benjamin Constant,BR,86.13,broken clouds,-4.3831,-70.0311,CASA AVALIADA
136,Tecoanapa,MX,87.53,broken clouds,16.5167,-98.75,Hotel Manglares
141,Port Blair,IN,82.08,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
145,Ishigaki,JP,83.21,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
149,Nikolskoye,RU,76.89,scattered clouds,59.7035,30.7861,Tourist House - Sablino
150,Nishihara,JP,81.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
153,Ittiri,IT,81.5,overcast clouds,40.5929,8.5684,Sa Mariposa
