City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Camacha,PT,2021-07-26 17:44:15,33.0833,-16.3333,77.54,78,40,12.66,scattered clouds
1,Esperance,AU,2021-07-26 17:44:16,-33.8667,121.9,55.24,75,68,30.29,broken clouds
2,Zhigansk,RU,2021-07-26 17:44:16,66.7697,123.3711,50.43,84,23,11.43,few clouds
3,Itarema,BR,2021-07-26 17:44:17,-2.9248,-39.9167,85.44,60,39,20.33,scattered clouds
4,Mayo,US,2021-07-26 17:44:17,38.8876,-76.5119,94.23,68,100,5.01,overcast clouds
5,Isangel,VU,2021-07-26 17:41:57,-19.55,169.2667,71.28,74,63,14.85,broken clouds
6,Saldanha,ZA,2021-07-26 17:44:18,-33.0117,17.9442,64.45,73,5,7.38,clear sky
7,Sobolevo,RU,2021-07-26 17:44:22,54.4299,31.8996,69.66,65,67,5.08,broken clouds
8,Chuy,UY,2021-07-26 17:44:23,-33.6971,-53.4616,54.88,74,100,12.88,overcast clouds
9,Mahebourg,MU,2021-07-26 17:44:23,-20.4081,57.7,68.29,94,40,9.22,light rain
10,Wurzen,DE,2021-07-26 17:44:23,51.3667,12.7333,75.99,71,89,4.45,overcast clouds
11,Kodiak,US,2021-07-26 17:39:45,57.79,-152.4072,54.91,82,90,0.0,overcast clouds
12,Hermanus,ZA,2021-07-26 17:44:24,-34.4187,19.2345,59.56,69,28,3.18,scattered clouds
13,Mataura,NZ,2021-07-26 17:44:25,-46.1927,168.8643,42.48,98,91,2.95,overcast clouds
14,Yellowknife,CA,2021-07-26 17:44:25,62.456,-114.3525,70.32,55,75,3.0,broken clouds
15,Port Elizabeth,ZA,2021-07-26 17:44:30,-33.918,25.5701,66.09,34,100,9.1,overcast clouds
16,Katsuura,JP,2021-07-26 17:44:30,35.1333,140.3,73.51,74,100,22.12,moderate rain
17,Domoni,KM,2021-07-26 17:44:31,-12.2569,44.5319,74.17,72,12,10.18,few clouds
18,Rikitea,PF,2021-07-26 17:44:31,-23.1203,-134.9692,73.54,74,36,17.83,scattered clouds
19,Bluff,NZ,2021-07-26 17:39:55,-46.6,168.3333,42.8,78,79,17.0,broken clouds
20,Hualmay,PE,2021-07-26 17:41:20,-11.0964,-77.6139,68.61,72,39,12.91,scattered clouds
21,Hasaki,JP,2021-07-26 17:44:32,35.7333,140.8333,72.28,90,100,30.31,overcast clouds
22,Cuamba,MZ,2021-07-26 17:44:32,-14.8031,36.5372,61.34,74,49,6.71,scattered clouds
23,Port Macquarie,AU,2021-07-26 17:43:07,-31.4333,152.9167,46.38,78,0,5.5,clear sky
24,Kokopo,PG,2021-07-26 17:44:33,-4.352,152.2633,76.21,85,64,3.38,light rain
25,Punta Arenas,CL,2021-07-26 17:39:46,-53.15,-70.9167,42.91,75,0,18.41,clear sky
26,Saskylakh,RU,2021-07-26 17:44:34,71.9167,114.0833,45.1,89,49,2.73,scattered clouds
27,Ashqelon,IL,2021-07-26 17:44:34,31.6693,34.5715,84.81,72,0,9.35,clear sky
28,Ushuaia,AR,2021-07-26 17:44:35,-54.8,-68.3,35.26,87,75,5.75,light rain
29,Pangkalanbuun,ID,2021-07-26 17:44:35,-2.6833,111.6167,73.83,92,1,2.73,clear sky
30,Ballina,AU,2021-07-26 17:40:54,-28.8667,153.5667,48.78,93,53,0.0,broken clouds
31,Hilo,US,2021-07-26 17:44:36,19.7297,-155.09,73.62,94,90,4.61,light rain
32,Lubango,AO,2021-07-26 17:44:36,-14.9172,13.4925,59.95,31,3,3.42,clear sky
33,Arraial Do Cabo,BR,2021-07-26 17:40:59,-22.9661,-42.0278,82.36,57,0,23.02,clear sky
34,Belmonte,BR,2021-07-26 17:44:37,-15.8631,-38.8828,77.5,73,19,7.0,few clouds
35,Stijena,BA,2021-07-26 17:44:38,44.9353,16.0172,75.67,52,82,5.35,broken clouds
36,Vila Franca Do Campo,PT,2021-07-26 17:44:38,37.7167,-25.4333,73.81,66,0,6.22,clear sky
37,San Cristobal,VE,2021-07-26 17:39:55,7.7669,-72.225,82.58,61,73,7.49,broken clouds
38,Ponta Do Sol,PT,2021-07-26 17:41:10,32.6667,-17.1,81.01,77,21,2.48,few clouds
39,East London,ZA,2021-07-26 17:39:53,-33.0153,27.9116,61.74,48,0,6.91,clear sky
40,Gimli,CA,2021-07-26 17:44:45,50.6336,-96.9907,82.06,68,71,2.3,broken clouds
41,Itupiranga,BR,2021-07-26 17:41:13,-5.1347,-49.3267,97.12,29,50,3.51,scattered clouds
42,Butaritari,KI,2021-07-26 17:44:46,3.0707,172.7902,82.33,73,95,7.52,overcast clouds
43,Albany,US,2021-07-26 17:44:03,42.6001,-73.9662,86.04,57,1,1.99,clear sky
44,Brandon,US,2021-07-26 17:44:51,27.9378,-82.2859,95.09,65,1,1.01,clear sky
45,Kapaa,US,2021-07-26 17:41:53,22.0752,-159.319,80.92,81,1,1.01,clear sky
46,Puerto Ayora,EC,2021-07-26 17:44:54,-0.7393,-90.3518,78.76,80,81,7.0,broken clouds
47,Mao,ES,2021-07-26 17:44:55,39.8885,4.2658,79.36,61,0,10.36,clear sky
48,Airai,TL,2021-07-26 17:44:55,-8.9266,125.4092,55.31,66,27,2.44,scattered clouds
49,Qaanaaq,GL,2021-07-26 17:44:56,77.484,-69.3632,44.49,54,89,9.71,overcast clouds
50,Litovko,RU,2021-07-26 17:44:57,49.2361,135.1742,72.88,86,80,3.0,broken clouds
51,Hof,DE,2021-07-26 17:44:57,50.3167,11.9167,74.5,74,0,3.44,light rain
52,Mapiri,BO,2021-07-26 17:44:58,-15.25,-68.1667,86.86,41,12,2.15,few clouds
53,Cape Town,ZA,2021-07-26 17:43:59,-33.9258,18.4232,63.01,65,0,5.75,clear sky
54,Pangody,RU,2021-07-26 17:44:59,65.85,74.4859,50.11,69,100,8.52,overcast clouds
55,Huarmey,PE,2021-07-26 17:44:59,-10.0681,-78.1522,70.54,71,36,13.29,scattered clouds
56,Haines Junction,CA,2021-07-26 17:45:00,60.7522,-137.5108,49.95,76,98,2.3,moderate rain
