City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Leningradskiy,RU,2021-07-24 00:18:36,69.3833,178.4167,42.06,76,45,9.8
1,Marzuq,YE,2021-07-24 00:19:56,14.4,46.4667,68.13,83,100,6.15
2,Cidreira,BR,2021-07-24 00:17:30,-30.1811,-50.2056,59.67,81,0,7.47
3,Vila Franca Do Campo,PT,2021-07-24 00:19:57,37.7167,-25.4333,70.21,89,93,5.88
4,Bethel,US,2021-07-24 00:19:57,41.3712,-73.414,74.91,71,75,1.01
5,Carnarvon,AU,2021-07-24 00:19:57,-24.8667,113.6333,57.27,66,82,9.22
6,Vaini,TO,2021-07-24 00:19:58,-21.2,-175.2,80.76,83,40,5.75
7,Longyan,CN,2021-07-24 00:19:58,25.1072,117.0225,79.97,84,22,2.51
8,Bubaque,GW,2021-07-24 00:19:59,11.2833,-15.8333,79.27,79,100,13.69
9,Dali,CN,2021-07-24 00:20:00,25.7,100.1833,65.16,89,81,2.13
10,Daru,PG,2021-07-24 00:20:00,-9.0763,143.2092,78.91,80,100,9.04
11,Mnogovershinnyy,RU,2021-07-24 00:20:01,53.9353,139.9242,76.48,71,98,2.15
12,Albany,US,2021-07-24 00:20:01,42.6001,-73.9662,69.93,76,38,5.12
13,Cape Town,ZA,2021-07-24 00:20:02,-33.9258,18.4232,49.12,88,0,3.44
14,Rockport,US,2021-07-24 00:15:24,28.0206,-97.0544,89.02,75,20,4.0
15,Fortuna,US,2021-07-24 00:16:56,40.5982,-124.1573,94.19,65,6,3.0
16,Ushuaia,AR,2021-07-24 00:17:19,-54.8,-68.3,37.06,75,75,10.36
17,Champasak,LA,2021-07-24 00:20:03,14.75,106.0,76.08,98,100,3.85
18,Tuktoyaktuk,CA,2021-07-24 00:20:04,69.4541,-133.0374,59.0,51,40,13.8
19,Promyshlennyy,RU,2021-07-24 00:20:04,67.5833,63.9167,46.99,84,62,4.9
20,Chernyshevskiy,RU,2021-07-24 00:20:05,63.0128,112.4714,68.58,53,12,5.37
21,Butaritari,KI,2021-07-24 00:17:26,3.0707,172.7902,83.14,77,35,16.78
22,Calvinia,ZA,2021-07-24 00:20:06,-31.4707,19.776,38.64,49,0,8.95
23,Saint-Philippe,RE,2021-07-24 00:17:14,-21.3585,55.7679,65.79,74,28,6.4
24,Ardalstangen,NO,2021-07-24 00:20:07,61.2371,7.6983,66.43,67,52,2.42
25,Walvis Bay,NA,2021-07-24 00:20:08,-22.9575,14.5053,67.15,11,0,20.71
26,Antalaha,MG,2021-07-24 00:20:08,-14.9003,50.2788,65.28,82,18,7.47
27,Mwaro,BI,2021-07-24 00:20:10,-3.5,29.6667,60.51,53,93,3.74
28,Turan,VN,2021-07-24 00:17:54,16.0678,108.2208,85.98,58,75,8.05
29,Tasiilaq,GL,2021-07-24 00:17:33,65.6145,-37.6368,41.16,98,100,4.94
30,Muisne,EC,2021-07-24 00:20:11,0.6,-80.0333,75.58,81,98,7.67
31,Qeshm,IR,2021-07-24 00:20:11,26.9581,56.2719,89.47,69,7,6.06
32,Waingapu,ID,2021-07-24 00:20:12,-9.6567,120.2641,77.23,62,2,7.4
33,Tolentino,IT,2021-07-24 00:20:12,43.2126,13.2901,73.76,61,60,5.32
34,Itupiranga,BR,2021-07-24 00:20:13,-5.1347,-49.3267,78.15,47,23,1.1
35,Constitucion,CL,2021-07-24 00:17:51,-35.3333,-72.4167,53.13,81,85,4.68
36,Mataura,NZ,2021-07-24 00:17:21,-46.1927,168.8643,53.47,68,38,3.69
37,Puerto Ayora,EC,2021-07-24 00:18:53,-0.7393,-90.3518,72.55,85,91,7.0
